Intervals:                               Run 1 Increments 0.0   Run 1 Increments 50.0   Run 1 Increments 100.0   Run 1 Increments 150.0   Run 1 Increments 200.0   Run 1 Increments 250.0   Run 1 Totals       
Average chosen sect travelled Ten       0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
chosen sect travelled Eleven            0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average chosen sect travelled Eleven    0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
chosen sect travelled Twelve            0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average chosen sect travelled Twelve    0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
chosen sect travelled Thirteen          0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average chosen sect travelled Thirteen  0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
chosen sect travelled Fourteen          0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average chosen sect travelled Fourteen  0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
chosen sect travelled Fifteen           0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average chosen sect travelled Fifteen   0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
chosen sect travelled Sixteen           0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average chosen sect travelled Sixteen   0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
lifetime                                200.0                  10000.0                 10000.0                  10000.0                  10000.0                  10000.0                  50200.0             
Average lifetime                        2.0                    100.0                   100.0                    100.0                    100.0                    100.0                    502.0               
Collision Varience                      NaN                    0.24675324675324675     0.175                    0.5517241379310345       0.40540540540540543      0.38461538461538464      NaN                 
Average Collision Varience              NaN                    0.0024675324675324673   0.0017499999999999998    0.005517241379310344     0.004054054054054054     0.0038461538461538464    NaN                 
Collision Varience Total                NaN                    1.974025974025974       1.4                      4.413793103448276        3.2432432432432434       3.076923076923077        NaN                 
Average Collision Varience Total        NaN                    0.01974025974025974     0.013999999999999999     0.044137931034482755     0.032432432432432434     0.03076923076923077      NaN                 
Bounce Varience                         NaN                    NaN                     NaN                      NaN                      NaN                      NaN                      NaN                 
Average Bounce Varience                 NaN                    NaN                     NaN                      NaN                      NaN                      NaN                      NaN                 
Bounce Varience Total                   NaN                    NaN                     NaN                      NaN                      NaN                      NaN                      NaN                 
Average Bounce Varience Total           NaN                    NaN                     NaN                      NaN                      NaN                      NaN                      NaN                 
Chosen Varience                         NaN                    1.0                     1.0                      1.0                      1.0                      1.0                      NaN                 
Average Chosen Varience                 NaN                    0.01                    0.01                     0.01                     0.01                     0.01                     NaN                 
Chosen Varience Total                   NaN                    16.0                    16.0                     16.0                     16.0                     16.0                     NaN                 
Average Chosen Varience Total           NaN                    0.16                    0.16                     0.16                     0.16                     0.16                     NaN                 
Absolute Varience                       NaN                    0.034084809447128286    0.030383091149273442     0.03747678429291589      0.0464509394572025       0.032104006367736804     NaN                 
Average Absolute Varience               NaN                    3.408480944712829E-4    3.038309114927344E-4     3.747678429291589E-4     4.64509394572025E-4      3.2104006367736804E-4    NaN                 
Absolute Varience Total                 NaN                    0.2726784755770263      0.24306472919418753      0.29981427434332714      0.37160751565762         0.25683205094189443      NaN                 
Average Absolute Varience Total         NaN                    0.002726784755770263    0.0024306472919418754    0.002998142743433271     0.0037160751565762       0.0025683205094189443    NaN                 
Chosen distance Varience                NaN                    1.0                     1.0                      1.0                      1.0                      0.9999999999999999       NaN                 
Average Chosen distance Varience        NaN                    0.01                    0.01                     0.01                     0.01                     0.009999999999999998     NaN                 
Chosen distance Varience Total          NaN                    16.0                    16.0                     16.0                     16.0                     15.999999999999998       NaN                 
Average Chosen distance Varience Total  NaN                    0.16                    0.16                     0.16                     0.16                     0.15999999999999998      NaN                 



seed: 8285488233758189792
increments: 0
jump size: 2.0
jumps per increment: 2.0
brakes: 25
file name: null
vid file name: null
heat topper: 0
jumps changed: false
tail: false
panel size: 1500
push: 0
jump size increment: 1.0
jumps per increment: 1.0
brake increments: 25.0
changed: false
type of traj: roulette
iterations: 250
change frequency: 75000
number of cells: 100
size of cells: 10
one: 4145
two: 2441
three: 1983
four: 2152
five: 2230
six: 1977
seven: 2416
eight: 4078
distribution: random
replication on: false
rep chance: 3000
rep taboo time: 0
rep varience on: false
rep varience: 100
death on: false
death chance: 2000
death type: clear
death varience on: false
death varience: 100
death time till removal: 100
boundary on: false
bound size: 500
bound type: circular
speed on: false
speed: 3.0
speed varience: 2
speed spreadType: random
bez on: false
bez bounce on: false
bez min distance: 5000
bez max distance: 50000
bez chance: 90000
bez number: 20
bez size: 5
bez type: random
bez varience: 1000
bez retainer: false
bez S var: 0
bez dist: false
ant path: false
ant ratio: 10000
ant varience ratio: 10000
species 0
replication: false
rep chance: 3000
rep taboo: 0
rep varience: false
er rep varience 2: 100
death: false
death chance: 2000
death varience: false
death varience 2: 100
death type: clear
time till removal: 100
speed flag: false
speed: 3.0
speedVar: 2
speed type: random
change flag: 75000
change varience: 0
cell num: 100
wOne: 4145
wOne var: 0
wTwo: 2441
wTwo varience: 0
wThree: 1983
wThree varience: 0
wFour: 2152
wFour varicne: 0
wFive: 2230
wFive varience: 0
wSix: 1977
wSix varience: 0
wSeven: 2416
wSeven varience: 0
wEight: 4078
wEight varience: 0
traj type: roulette
cell length: 10
cell length var: 4
ant path flag: false
ant ratio: 10000
ant varience: 10000
